sample,Hash,nReads
PG_Al_3_May_C_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,4266
PG_Al_10_May_C_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,8021
CI_Al_1_May_A_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,14
PG_Al_10_May_A_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,10069
CI_Al_15_May_A_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,9
PG_Al_15_May_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,15625
PG_Al_3_Aug_A_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,138
PG_Al_10_May_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,14380
CI_Al_3_Aug_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,6986
CI_Al_10_Aug_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,6607
CI_Al_10_May_A_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,11
CI_Al_15_Aug_B_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,92
CI_Al_3_May_B_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,15002
CI_Al_1_May_B_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,27954
CI_Al_15_May_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,504
CI_Al_6_Aug_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,8
PG_Al_15_May_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,690
CI_Al_6_Aug_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,6
PG_Al_6_May_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,786
CI_Al_3_May_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,16897
CI_Al_3_May_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,17044
CI_Al_15_Aug_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,2
CI_Al_10_May_B_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,14780
CI_Al_10_May_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,13493
PG_Al_1_May_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,802
PG_Al_15_Aug_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,2611
PG_Al_3_Aug_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,7
PG_Al_1_May_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,7
PG_Al_15_May_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,19
CI_Al_6_May_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,19105
PG_Al_6_May_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,140
NA_NA_NA_NA_B_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,4
CI_Al_1_Aug_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,9
CI_Al_1_May_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,5861
CI_Al_6_Aug_B_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,8
PG_Al_10_May_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,77
CI_Al_6_May_C_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,11797
PG_Al_15_Aug_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,5
CI_Al_1_May_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,17067
PG_Al_10_May_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,382
PG_Al_15_May_B_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,2
CI_Al_15_May_B_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,11766
CI_Al_6_May_B_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,9244
CI_Al_10_Aug_B_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,509
CI_Al_10_May_A_r3,5ae1341da7ed3b29f88201563c85b12b0112a65a,8501
PG_Al_10_Aug_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,6
PG_Al_6_Aug_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,26
CI_Al_15_Aug_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,2671
CI_Al_1_Aug_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,9341
CI_Al_6_Aug_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,27178
PG_Al_1_Aug_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,52
CI_Al_6_Aug_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,21960
PG_Al_6_Aug_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,143
PG_Al_10_Aug_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,11
CI_Al_15_Aug_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,20812
CI_Al_10_Aug_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,14190
PG_Al_1_Aug_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,46
PG_Al_15_Aug_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,172
CI_Al_3_Aug_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,12898
PG_Al_1_Aug_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,24
PG_Al_3_Aug_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,55
PG_Al_3_Aug_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,80
CI_Al_1_Aug_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,15646
NA_NA_NA_NA_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,9
CI_Al_1_Aug_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,8330
CI_Al_1_May_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,2
CI_Al_6_Aug_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,5976
PG_Al_10_Aug_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,57
PG_Al_15_Aug_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,65
CI_Al_3_Aug_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,10442
CI_Al_6_May_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,3
PG_Al_15_Aug_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,115
PG_Al_10_May_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,6
CI_Al_15_Aug_C_r3,86d6faac0dd509d2237dfc49a1315d0011373618,9791
PG_Al_3_Aug_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,139
CI_Al_10_Aug_A_r3,86d6faac0dd509d2237dfc49a1315d0011373618,11097
CI_Al_3_Aug_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,8485
CI_Al_10_Aug_B_r3,86d6faac0dd509d2237dfc49a1315d0011373618,3054
PG_Al_10_Aug_A_r3,f5d88ad109ebd14216cd511e05b921c4ba270d85,19123
PG_Al_6_Aug_A_r3,f5d88ad109ebd14216cd511e05b921c4ba270d85,8
CI_Al_3_May_B_r3,f5d88ad109ebd14216cd511e05b921c4ba270d85,3
CI_Al_15_May_C_r3,f5d88ad109ebd14216cd511e05b921c4ba270d85,4
PG_Al_1_Aug_A_r3,f5d88ad109ebd14216cd511e05b921c4ba270d85,12719
CI_Al_6_Aug_C_r3,f5d88ad109ebd14216cd511e05b921c4ba270d85,4
PG_Al_10_Aug_C_r3,f5d88ad109ebd14216cd511e05b921c4ba270d85,17894
